Country,CAM,CB,CDM,CF,CM,GK,LB,LM,LW,LWB,RB,RM,RW,RWB,ST,Best,Age,Potential,Overall,Value,Wage
Afghanistan,,,50,,59,,,60,,,,,,,,60,22.0,199,169,0.69,6
Albania,72,76,72,,72,78,66,70,,,79,,66,,72,79,24.7,2477,2319,74.09,368
Algeria,81,78,80,75,73,69,79,82,64,,,83,76,,82,83,26.5,4203,4044,278.41,1025
Angola,,77,62,,,53,68,74,,,67,73,,,73,77,25.6,1085,1024,37.10,135
Antigua & Barbuda,,,,,55,,,,54,,65,59,,,60,65,22.4,334,293,1.54,13
Argentina,80,83,83,81,83,83,82,83,85,73,79,80,93,61,90,93,25.9,69923,65394,2806.90,12306
Armenia,71,60,,,62,,64,85,,,,,,,70,85,26.1,990,938,54.43,328
Australia,77,74,71,69,74,77,69,68,72,65,73,72,67,,73,77,24.3,15550,14246,166.62,934
Austria,74,79,78,74,86,75,76,79,82,73,72,76,77,70,78,86,24.5,18552,17144,401.92,2579
Azerbaijan,68,,,,66,,,,,,65,70,,,59,70,25.0,483,450,4.96,34
Barbados,,,,,,,,65,,,,,,,,65,30.0,65,65,0.53,7
Belarus,,74,67,75,76,71,,,,,,67,,,,76,29.6,638,637,20.40,137
Belgium,86,86,83,71,78,89,78,76,90,73,73,89,78,67,86,90,23.9,20163,18522,1210.43,5221
Belize,,,,,,,,,,,,,64,,,64,24.0,69,64,0.60,2
Benin,75,70,74,,64,68,66,,,,,,63,,76,76,25.8,1008,952,32.57,161
Bermuda,63,,,,,58,,,60,,,,,,72,72,27.0,264,253,4.42,43
Bolivia,65,69,66,,71,68,63,70,,,,70,,,75,75,27.3,2052,1964,1.28,6
Bosnia Herzegovina,75,76,85,68,76,82,75,80,,,69,79,61,,84,85,26.1,4009,3810,236.52,1081
Brazil,86,88,85,83,80,83,87,86,92,72,84,82,81,,82,92,27.2,59168,57567,3255.23,15214
Brunei Darussalam,,,,,,,,55,,,,,,,,55,19.0,69,55,0.19,5
Bulgaria,73,69,,,70,74,69,77,,68,71,68,69,,70,77,27.5,2302,2215,33.53,254
Burkina Faso,,75,71,,77,66,62,74,,,,75,,,79,79,25.1,1020,959,49.71,214
Burundi,,,,,,,,,,,,,,,64,64,27.0,64,64,0.48,7
Cameroon,70,83,73,,77,80,72,76,73,65,77,77,63,,81,83,24.6,6264,5818,219.34,993
Canada,64,68,70,,80,68,66,68,,64,66,72,,,73,80,25.3,3778,3523,41.69,268
Cape Verde,61,75,73,,67,63,,71,,,71,75,71,,79,79,25.6,1602,1524,63.26,308
Central African Rep.,,,70,,69,,,,,,,,,,61,70,26.8,283,268,3.72,27
Chad,,,62,,,,,74,,,,,,,,74,25.0,144,136,7.83,25
Chile,80,82,80,78,87,82,76,77,75,72,75,89,80,,76,89,28.7,26712,26586,1049.79,3021
China PR,72,76,60,73,72,74,63,74,,68,60,69,53,,68,76,27.3,2092,2028,2.17,35
Colombia,77,81,76,76,77,79,76,75,78,,77,86,78,71,84,86,25.4,41862,38881,1011.65,3469
Comoros,70,,69,,64,70,,71,,,70,,,,70,71,27.1,626,615,11.90,62
Congo,70,74,74,,62,65,70,68,,,68,69,53,,74,74,24.7,1540,1432,28.49,209
Costa Rica,77,75,77,77,,85,72,71,68,68,72,71,64,,68,85,26.3,2083,2020,88.11,523
Croatia,84,82,89,,87,85,75,83,81,,81,70,67,64,81,89,25.0,8001,7529,568.33,2715
Cuba,,,,,77,,,,,,,,,,69,77,27.5,151,146,7.40,23
Curacao,70,71,,,,74,,70,64,,,72,66,,,74,25.0,783,745,18.71,134
Cyprus,,60,67,,66,,58,73,,,67,,,,68,73,22.0,788,687,10.02,66
Czech Republic,73,74,79,73,77,86,73,76,72,,78,79,70,,77,86,26.5,5388,5123,187.79,892
Denmark,80,81,81,71,79,83,73,87,69,73,77,76,74,67,79,87,24.4,24112,21905,552.31,2492
Dominican Republic,,,,,,,60,,,,,,,73,76,76,23.3,227,209,14.69,71
DR Congo,74,73,73,,63,68,76,81,70,75,64,76,67,,74,81,24.8,4182,3933,159.25,830
Ecuador,67,72,79,,72,73,72,72,78,,83,72,76,,77,83,27.1,2713,2609,104.40,666
Egypt,71,73,73,,77,73,71,67,75,,,74,83,,75,83,27.3,2338,2239,94.67,514
El Salvador,,,,,70,,,,,,,,,,,70,29.5,138,138,2.20,11
England,78,84,81,70,83,82,82,84,71,82,82,80,81,83,86,86,23.9,114373,102804,2271.67,19009
Equatorial Guinea,,,59,,,67,68,70,,,,,,71,,71,25.5,431,404,7.21,45
Eritrea,,,,,,,,,,,,,,,71,71,32.0,71,71,1.90,8
Estonia,72,67,,,,,66,,,,,66,,,,72,27.0,541,518,5.68,25
Ethiopia,,,64,,,,,,,,67,,,,,67,26.5,139,131,1.25,8
Faroe Islands,,62,,,66,,,60,,,,63,64,,,66,22.5,411,365,2.64,12
Fiji,,,,,,,,,,,,,69,,,69,29.0,69,69,1.10,4
Finland,72,76,74,,73,81,71,77,,67,64,73,63,61,72,81,24.8,4318,3987,79.92,345
France,84,85,87,71,87,88,80,83,88,78,79,82,77,71,86,88,24.6,71418,65806,3267.06,13965
FYR Macedonia,74,62,,69,73,71,,,74,,65,74,,,71,74,24.7,1230,1135,37.47,143
Gabon,,72,77,,74,66,66,70,,,,72,,,88,88,25.5,889,846,94.84,311
Gambia,,74,,,,,,66,65,,,67,63,,72,74,23.7,1072,985,19.43,94
Georgia,71,76,,,60,73,73,75,,,,75,58,67,74,76,24.3,2243,2076,63.26,280
Germany,82,88,90,73,82,92,80,84,86,74,82,82,88,70,86,92,24.2,81601,75127,2989.26,13022
Ghana,80,71,75,,78,69,75,77,74,71,71,77,70,70,79,80,23.6,8551,7811,273.37,1346
Gibraltar,,,,,64,,,,,,,,,64,,64,30.0,128,128,0.73,11
Greece,68,86,75,76,78,82,75,78,70,78,72,75,71,,81,86,24.4,7208,6744,326.28,880
Grenada,,64,,,,,,,,,,,,,,64,24.0,73,64,0.60,2
Guam,,69,,,,,,,,,,,,,,69,29.0,69,69,0.80,5
Guatemala,,,,,,72,,,,,,,,,,72,31.0,72,72,1.90,1
